Time (s),Forward Acceleration (cm/s^2),Roll (deg),Label
22.8225203276699,52,1.73319879424113,Other
22.832515776699,43,1.58995922446914,Other
22.8425112257282,35,1.46104361167434,Other
22.8525066747573,27,1.33212799887955,Other
22.8625021237864,23,1.21753634306195,Other
22.8724975728155,22,1.11726864422156,Other
22.8824930218447,32,1.00267698840396,Other
22.8924884708738,52,0.888085332586366,Other
22.9024839199029,71,0.77349367676877,Other
22.912479368932,96,0.658902020951174,Other
22.9224748179612,111,0.529986408156379,Other
22.9324702669903,112,0.401070795361584,Other
22.9424657160194,93,0.272155182566789,Other
22.9524611650485,72,0.143239569771994,Other
22.9624566140777,66,0.0429718709315983,Other
22.9724520631068,53,-0.0143239569771994,Other
22.9824475121359,50,-0.0572958279087978,Other
22.992442961165,55,-0.0859437418631967,Other
23.0024384101942,61,-0.100267698840396,Other
23.0124338592233,54,-0.100267698840396,Other
23.0224293082524,36,-0.0859437418631967,Other
23.0324247572815,22,-0.0716197848859972,Other
23.0424202063107,33,-0.0716197848859972,Other
23.0524156553398,63,-0.0859437418631967,Heal-Down-Left
23.0624111043689,100,-0.100267698840396,Other
23.0724065533981,128,-0.128915612794795,Other
23.0824020024272,135,-0.171887483726393,Other
23.0923974514563,139,-0.229183311635191,Other
23.1023929004854,152,-0.25783122558959,Other
23.1123883495146,163,-0.272155182566789,Other
23.1223837985437,148,-0.286479139543989,Other
23.1323792475728,106,-0.315127053498388,Other
23.1423746966019,40,-0.386746838384385,Other
23.1523701456311,-45,-0.51566245117918,Other
23.1623655946602,-150,-0.744845762814371,Other
23.1723610436893,-252,-1.03132490235836,Other
23.1823564927184,-337,-1.33212799887955,Other
23.1923519417476,-404,-1.60428318144634,Other
23.2023473907767,-426,-1.83346649308153,Other
23.2123428398058,-382,-1.96238210587632,Other
23.2223382888349,-310,-2.01967793378512,Other
23.2323337378641,-228,-2.00535397680792,Other
23.2423291868932,-155,-1.91941023494473,Other
23.2523246359223,-97,-1.79049462214993,Other
23.2623200849514,-62,-1.61860713842354,Other
23.2723155339806,-61,-1.44671965469714,Other
